rel_path,rows,cols,mean_abs_diff,mean_signed_diff
Frontal/sick/355_img_Static-Frontal_2019-09-25.txt,480,640,0.046152,0.044762
Frontal/sick/378_img_Static-Frontal_2020-09-15.txt,480,640,0.027130,0.022914
Frontal/sick/264_img_Static-Frontal_2015-01-16.txt,480,640,0.054038,0.052984
Frontal/sick/418_img_Static-Frontal_2019-08-28.txt,480,640,0.039126,0.036783
Frontal/sick/368_img_Static-Frontal_2019-12-11.txt,480,640,0.056102,0.053071
Frontal/sick/328_img_Static-Frontal_2020-01-20.txt,480,640,0.051385,0.050146
Frontal/sick/345_img_Static-Frontal_2019-10-23.txt,480,640,0.046800,0.045621
Frontal/sick/390_img_Static-Frontal_2019-01-30.txt,480,640,0.037061,0.035716
Frontal/sick/260_img_Static-Frontal_2014-11-11.txt,480,640,0.033403,0.031608
Frontal/sick/407_img_Static-Frontal_2019-01-30.txt,480,640,0.039458,0.038195
Frontal/sick/268_img_Static-Frontal_2015-01-23.txt,480,640,0.060185,0.059428
Frontal/sick/255_img_Static-Frontal_2014-10-10.txt,480,640,0.071476,0.068686
Frontal/sick/401_img_Static-Frontal_2019-07-24.txt,480,640,0.039167,0.036700
Frontal/sick/266_img_Static-Frontal_2015-01-16.txt,480,640,0.033972,0.031720
Frontal/sick/373_img_Static-Frontal_2019-10-23.txt,480,640,0.033532,0.030804
Frontal/sick/397_img_Static-Frontal_2018-05-23.txt,480,640,0.053514,0.050115
Frontal/sick/425_img_Static-Frontal_2020-10-27.txt,480,640,0.051333,0.050164
Frontal/sick/213_img_Static-Frontal_2013-11-08.txt,480,640,0.067818,0.067116
Frontal/sick/387_img_Static-Frontal_2019-09-25.txt,480,640,0.041800,0.040656
Frontal/sick/378_img_Static-Frontal_2019-09-18.txt,480,640,0.033876,0.031818
Frontal/sick/278_img_Static-Frontal_2015-03-20.txt,480,640,0.039029,0.037276
Frontal/sick/361_img_Static-Frontal_2020-01-22.txt,480,640,0.053679,0.051491
Frontal/sick/344_img_Static-Frontal_2019-12-11.txt,480,640,0.044386,0.043104
Frontal/sick/389_img_Static-Frontal_2020-10-14.txt,480,640,0.032127,0.028842
Frontal/sick/326_img_Static-Frontal_2019-04-24.txt,480,640,0.019322,0.018475
Frontal/sick/366_img_Static-Frontal_2020-09-30.txt,480,640,0.027775,0.027006
Frontal/sick/356_img_Static-Frontal_2019-06-26.txt,480,640,0.041086,0.039121
Frontal/sick/318_img_Static-Frontal_2020-02-22.txt,480,640,0.019855,0.019230
Frontal/sick/277_img_Static-Frontal_2015-03-20.txt,480,640,0.042231,0.041258
Frontal/sick/381_img_Static-Frontal_2019-08-28.txt,480,640,0.030691,0.025503
Frontal/sick/273_img_Static-Frontal_2015-03-13.txt,480,640,0.027989,0.027144
Frontal/sick/413_img_Static-Frontal_2019-01-30.txt,480,640,0.034676,0.030808
Frontal/sick/316_img_Static-Frontal_2018-05-23.txt,480,640,0.044260,0.043148
Frontal/sick/424_img_Static-Frontal_2019-02-27.txt,480,640,0.034063,0.032457
Frontal/sick/348_img_Static-Frontal_2019-06-26.txt,480,640,0.035067,0.033794
Frontal/sick/257_img_Static-Frontal_2014-10-17.txt,480,640,0.041268,0.037608
Frontal/sick/381_img_Static-Frontal_2020-02-19.txt,480,640,0.047910,0.045407
Frontal/sick/394_img_Static-Frontal_2018-05-23.txt,480,640,0.044628,0.043194
Frontal/sick/256_img_Static-Frontal_2014-10-10.txt,480,640,0.048387,0.047004
