rel_path,rows,cols,mean_abs_diff,mean_signed_diff
Frontal/healthy/148_img_Static-Frontal_2013-01-29.txt,480,640,0.029302,0.022434
Frontal/healthy/176_img_Static-Frontal_2013-03-20.txt,480,640,0.024623,0.008798
Frontal/healthy/172_img_Static-Frontal_2013-03-18.txt,480,640,0.019196,0.009704
Frontal/healthy/55_img_Static-Frontal_2012-11-19.txt,480,640,0.045198,0.025973
Frontal/healthy/13_img_Static-Frontal_2012-10-26.txt,480,640,0.057575,0.022569
Frontal/healthy/70_img_Static-Frontal_2012-11-21.txt,480,640,0.062665,0.036872
Frontal/healthy/150_img_Static-Frontal_2013-01-28.txt,480,640,0.012610,0.007511
Frontal/healthy/151_img_Static-Frontal_2013-01-28.txt,480,640,0.023323,0.010685
Frontal/healthy/23_img_Static-Frontal_2012-10-31.txt,480,640,0.053287,0.036649
Frontal/healthy/45_img_Static-Frontal_2012-11-14.txt,480,640,0.098217,0.066506
Frontal/healthy/132_img_Static-Frontal_2013-01-21.txt,480,640,0.014016,0.005767
Frontal/healthy/8_img_Static-Frontal_2012-10-24.txt,480,640,0.038712,0.016006
Frontal/healthy/137_img_Static-Frontal_2013-01-18.txt,480,640,0.099432,0.093236
Frontal/healthy/34_img_Static-Frontal_2012-11-29.txt,480,640,0.042832,0.002443
Frontal/healthy/152_img_Static-Frontal_2013-02-01.txt,480,640,0.013216,0.010568
Frontal/healthy/22_img_Static-Frontal_2012-10-31.txt,480,640,0.060231,0.033410
Frontal/healthy/166_img_Static-Frontal_2013-01-14.txt,480,640,0.047010,0.019207
Frontal/healthy/68_img_Static-Frontal_2012-11-21.txt,480,640,0.060650,0.045524
Frontal/healthy/143_img_Static-Frontal_2013-01-25.txt,480,640,0.018231,0.016417
Frontal/healthy/219_img_Static-Frontal_2013-11-11.txt,480,640,0.018534,0.002545
Frontal/healthy/69_img_Static-Frontal_2012-11-21.txt,480,640,0.073147,0.026948
Frontal/healthy/99_img_Static-Frontal_2012-11-09.txt,480,640,0.028264,0.014565
Frontal/healthy/107_img_Static-Frontal_2012-11-28.txt,480,640,0.138812,0.127184
Frontal/healthy/106_img_Static-Frontal_2012-11-28.txt,480,640,0.049005,0.042772
Frontal/healthy/44_img_Static-Frontal_2012-11-14.txt,480,640,0.099449,0.084276
Frontal/healthy/66_img_Static-Frontal_2012-11-21.txt,480,640,0.045007,0.010360
Frontal/healthy/51_img_Static-Frontal_2012-11-07.txt,480,640,0.019315,0.012815
Frontal/healthy/158_img_Static-Frontal_2013-02-18.txt,480,640,0.017708,0.006556
Frontal/healthy/41_img_Static-Frontal_2012-11-14.txt,480,640,0.115229,0.097341
Frontal/healthy/93_img_Static-Frontal_2012-12-07.txt,480,640,0.041025,-0.033395
Frontal/healthy/225_img_Static-Frontal_2013-11-18.txt,480,640,0.025993,0.006278
Frontal/healthy/237_img_Static-Frontal_2014-05-21.txt,480,640,0.015642,-0.009010
Frontal/healthy/127_img_Static-Frontal_2013-01-22.txt,480,640,0.027836,0.021251
Frontal/healthy/71_img_Static-Frontal_2012-12-03.txt,480,640,0.070193,0.048141
Frontal/healthy/36_img_Static-Frontal_2012-09-29.txt,480,640,0.065379,0.058286
Frontal/healthy/174_img_Static-Frontal_2013-03-20.txt,480,640,0.029535,0.024206
Frontal/healthy/31_img_Static-Frontal_2012-10-19.txt,480,640,0.038019,-0.013008
Frontal/healthy/60_img_Static-Frontal_2012-11-19.txt,480,640,0.111899,0.087641
Frontal/healthy/49_img_Static-Frontal_2012-11-07.txt,480,640,0.082385,0.043849
Frontal/healthy/135_img_Static-Frontal_2013-01-25.txt,480,640,0.021830,0.008313
Frontal/healthy/97_img_Static-Frontal_2012-11-09.txt,480,640,0.022162,-0.001351
Frontal/healthy/35_img_Static-Frontal_2012-10-29.txt,480,640,0.057673,0.020555
Frontal/healthy/80_img_Static-Frontal_2012-11-30.txt,480,640,0.058012,0.033141
Frontal/healthy/243_img_Static-Frontal_2014-04-15.txt,480,640,0.038086,-0.027582
Frontal/healthy/168_img_Static-Frontal_2013-04-08.txt,480,640,0.030152,0.026191
Frontal/healthy/87_img_Static-Frontal_2012-11-12.txt,480,640,0.086174,0.063718
Frontal/healthy/193_img_Static-Frontal_2013-10-02.txt,480,640,0.020297,0.003625
Frontal/healthy/72_img_Static-Frontal_2012-12-03.txt,480,640,0.071080,0.046553
Frontal/healthy/17_img_Static-Frontal_2012-10-26.txt,480,640,0.060091,0.029474
Frontal/healthy/194_img_Static-Frontal_2013-10-02.txt,480,640,0.000000,0.000000
Frontal/healthy/115_img_Static-Frontal_2013-01-16.txt,480,640,0.098149,0.080116
Frontal/healthy/165_img_Static-Frontal_2013-03-06.txt,480,640,0.022498,0.007942
Frontal/healthy/145_img_Static-Frontal_2013-01-29.txt,480,640,0.022667,0.013754
Frontal/healthy/19_img_Static-Frontal_2012-10-31.txt,480,640,0.071778,0.059779
Frontal/healthy/4_img_Static-Frontal_2012-10-17.txt,480,640,0.046709,0.028449
Frontal/healthy/221_img_Static-Frontal_2013-11-18.txt,480,640,0.022809,0.007190
Frontal/healthy/153_img_Static-Frontal_2013-02-01.txt,480,640,0.028411,0.025494
Frontal/healthy/131_img_Static-Frontal_2013-01-21.txt,480,640,0.017126,-0.000837
Frontal/healthy/244_img_Static-Frontal_2014-05-06.txt,480,640,0.055696,-0.001272
Frontal/healthy/5_img_Static-Frontal_2012-10-17.txt,480,640,0.034832,-0.005786
Frontal/healthy/161_img_Static-Frontal_2013-02-22.txt,480,640,0.027555,0.016585
Frontal/healthy/75_img_Static-Frontal_2012-12-03.txt,480,640,0.051911,0.032335
Frontal/healthy/85_img_Static-Frontal_2012-11-12.txt,480,640,0.076599,0.047669
Frontal/healthy/171_img_Static-Frontal_2013-03-18.txt,480,640,0.023970,0.017373
Frontal/healthy/108_img_Static-Frontal_2012-11-28.txt,480,640,0.129617,0.117348
Frontal/healthy/276_img_Static-Frontal_2015-03-13.txt,480,640,0.013947,-0.007809
Frontal/healthy/46_img_Static-Frontal_2012-11-14.txt,480,640,0.101389,0.072670
Frontal/healthy/235_img_Static-Frontal_2014-05-21.txt,480,640,0.012145,-0.008336
Frontal/healthy/224_img_Static-Frontal_2013-11-18.txt,480,640,0.027349,0.018265
Frontal/healthy/42_img_Static-Frontal_2012-11-14.txt,480,640,0.093002,0.073770
Frontal/healthy/38_img_Static-Frontal_2012-10-29.txt,480,640,0.051619,0.014244
Frontal/healthy/162_img_Static-Frontal_2013-02-19.txt,480,640,0.025023,0.018297
Frontal/healthy/32_img_Static-Frontal_2012-10-29.txt,480,640,0.068707,0.032703
Frontal/healthy/160_img_Static-Frontal_2013-02-22.txt,480,640,0.012440,-0.002226
Frontal/healthy/15_img_Static-Frontal_2012-10-26.txt,480,640,0.086977,0.056270
Frontal/healthy/149_img_Static-Frontal_2013-01-28.txt,480,640,0.022764,0.016288
Frontal/healthy/48_img_Static-Frontal_2012-11-07.txt,480,640,0.046003,0.010819
Frontal/healthy/272_img_Static-Frontal_2015-03-13.txt,480,640,0.012675,-0.011929
Frontal/healthy/212_img_Static-Frontal_2013-11-08.txt,480,640,0.023801,-0.011142
Frontal/healthy/146_img_Static-Frontal_2013-01-29.txt,480,640,0.029681,0.024100
Frontal/healthy/111_img_Static-Frontal_2012-11-28.txt,480,640,0.074969,0.059444
Frontal/healthy/98_img_Static-Frontal_2012-11-09.txt,480,640,0.013842,-0.000623
Frontal/healthy/59_img_Static-Frontal_2012-11-19.txt,480,640,0.104166,0.085024
Frontal/healthy/28_img_Static-Frontal_2012-10-29.txt,480,640,0.073245,0.056492
Frontal/healthy/236_img_Static-Frontal_2014-05-21.txt,480,640,0.017818,-0.005296
Frontal/healthy/100_img_Static-Frontal_2012-11-09.txt,480,640,0.018921,-0.008700
Frontal/healthy/58_img_Static-Frontal_2012-11-19.txt,480,640,0.059640,0.046221
Frontal/healthy/195_img_Static-Frontal_2013-10-07.txt,480,640,0.021242,0.007499
Frontal/healthy/16_img_Static-Frontal_2012-10-31.txt,480,640,0.063573,0.033634
Frontal/healthy/216_img_Static-Frontal_2013-11-11.txt,480,640,0.019021,-0.006398
Frontal/healthy/57_img_Static-Frontal_2012-11-19.txt,480,640,0.102587,0.089340
Frontal/healthy/95_img_Static-Frontal_2012-12-07.txt,480,640,0.053261,0.021757
Frontal/healthy/61_img_Static-Frontal_2012-11-19.txt,480,640,0.077032,0.049405
