Configuração,Seed,Fold,Acc,Prec,Rec,F1,Arquivo
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0,0,0.8269,0.7826,0.8182,0.8,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t0_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0,1,0.8571,0.8462,0.6875,0.7586,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t0_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0,2,0.8627,0.8182,0.8571,0.8372,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t0_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0,3,0.84,0.7727,0.85,0.8095,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t0_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,0,4,0.8958,0.9333,0.7778,0.8485,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t0_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,1,0,0.8163,0.7222,0.7647,0.7429,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t1_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,1,1,0.6939,0.6154,0.4444,0.5161,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t1_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,1,2,0.8571,0.8333,0.7895,0.8108,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t1_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,1,3,0.8654,0.8889,0.7619,0.8205,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t1_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,1,4,0.8824,0.8636,0.8636,0.8636,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t1_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,2,0,0.8776,0.8824,0.7895,0.8333,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t2_Frontal.txt
Vgg_AUG_CV_DatasetMarcadorMovidoFixo,2,1,0.8431,0.8,0.8,0.8,ResultadosTreinamento30Modelos_Corrigido/Vgg6/Vgg_AUG_CV_DatasetMarcadorMovidoFixo_t2_Frontal.txt
