epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.5969,1.79607,6.50292,3.04962,1.83269,0.01562,1,0.74625,0.51931,0.01562,1,0.74625,0.23742,0.91847,4.12045,2.33783,1.06076,2e-05,2e-05,2e-05
2,3.05066,1.75128,6.29487,2.92531,1.74174,0.01527,1,0.81583,0.5976,0.01527,1,0.59393,0.26624,0.91325,4.11815,2.33406,1.0557,5.9703e-05,5.9703e-05,5.9703e-05
3,3.74618,1.63388,6.06179,3.01077,1.75174,0.01504,1,0.81583,0.58424,0.01504,1,0.64144,0.28992,0.89818,4.12081,2.33901,1.05511,9.901e-05,9.901e-05,9.901e-05
4,4.80577,1.76811,5.9003,3.01611,1.73286,0.01542,1,0.995,0.68827,0.01542,1,0.995,0.39738,0.86053,3.85284,2.33796,1.04267,0.000137921,0.000137921,0.000137921
5,6.10331,1.1312,3.73375,2.91859,1.40511,0.01567,1,0.995,0.7235,0.01567,1,0.995,0.49368,0.75266,3.33957,2.36893,0.93439,0.000176436,0.000176436,0.000176436
6,10.8299,1.07288,2.52942,2.73675,1.2656,0.01508,1,0.995,0.78042,0.01508,1,0.995,0.63898,0.61493,2.7781,2.22472,0.73378,0.000214555,0.000214555,0.000214555
7,13.9375,0.88674,2.15231,2.35991,1.13211,0.01422,1,0.995,0.80628,0.01422,1,0.995,0.7508,0.60158,1.96165,2.14499,0.72095,0.000252278,0.000252278,0.000252278
8,17.8337,0.81209,1.94669,1.95837,1.12972,0.01302,1,0.995,0.77266,0.01302,1,0.995,0.8022,0.71304,1.43953,1.95879,0.74634,0.000289605,0.000289605,0.000289605
9,22.2888,0.87868,1.58608,1.81604,1.10442,0.86529,1,0.995,0.78988,0.86529,1,0.995,0.82738,0.79065,1.2706,1.80391,0.70325,0.000326536,0.000326536,0.000326536
10,26.2116,0.91519,1.60003,1.62642,1.10441,0.98003,1,0.995,0.85149,0.98003,1,0.995,0.82738,0.63014,1.33842,1.68459,0.64815,0.000363071,0.000363071,0.000363071
11,29.3604,0.78227,1.39665,1.49682,1.02088,0.95842,1,0.995,0.93082,0.95842,1,0.995,0.82839,0.60782,1.47816,1.54171,0.65549,0.00039921,0.00039921,0.00039921
